shipment_id,duration_seconds,distance_meters
SHP_1599,88107.2,2139925.5
SHP_1606,85319.7,2029749.8
SHP_1607,167299.6,4266985.0
SHP_1608,44563.2,1087079.3
SHP_1610,172289.1,4379866.0
SHP_1611,149798.0,3814636.5
SHP_1612,83312.4,1991370.0
SHP_1613,87110.7,2060647.9
SHP_1614,172165.3,4377828.0
SHP_1616,169190.5,4308427.0
SHP_1617,1517.9,21515.9
SHP_1618,196697.9,4892069.0
SHP_1621,86785.5,2061830.3
SHP_1623,87419.6,2064113.5
SHP_1627,87473.0,2126157.5
SHP_1628,209284.8,5262091.5
SHP_1630,86826.9,2058821.4
SHP_1631,101983.0,2477619.8
SHP_1639,73592.0,1763829.1
SHP_1648,97206.7,2332682.3
SHP_1649,94232.1,2223476.5
SHP_1652,87679.4,2076486.6
SHP_1655,87390.9,2064551.3
SHP_1658,86374.9,2097640.3
SHP_1659,87079.5,2059857.1
SHP_1665,173240.9,4405033.0
SHP_1668,83312.4,1991370.0
SHP_1669,174178.4,4419982.0
SHP_1671,91161.7,2163680.5
SHP_1672,67459.4,1571730.5
SHP_1673,196624.9,4885531.0
SHP_1674,173162.8,4396578.5
SHP_1675,84434.8,2007548.4
SHP_1676,100856.8,2352601.0
SHP_1677,197105.8,4994674.5
SHP_1678,87414.3,2067688.1
SHP_1679,127998.4,3158328.5
SHP_1681,87632.7,2068359.5
SHP_1683,194257.2,4924571.0
SHP_1685,93083.8,2201877.3
SHP_1689,79252.9,1864135.5
SHP_1690,170916.2,4283878.0
SHP_1691,193874.5,4871251.5
SHP_1693,195033.8,4850309.0
SHP_1694,166824.6,4256392.0
SHP_1696,174694.7,4437785.0
SHP_1700,117798.5,2829781.0
SHP_1701,92985.1,2174990.3
SHP_1702,93404.6,2236958.3
SHP_1706,80256.9,1912248.0
SHP_1707,87240.0,2116422.0
SHP_1709,86570.5,2054442.1
SHP_1710,208802.1,5252780.5
SHP_1711,68705.7,1666645.1
SHP_1715,86177.7,2046732.6
SHP_1718,73592.0,1763829.1
SHP_1720,173483.4,4409680.0
SHP_1721,20157.2,473578.3
SHP_1722,120897.7,2928318.0
SHP_1723,91816.6,2177799.8
SHP_1724,195026.2,4847341.0
SHP_1725,97550.5,2346601.0
SHP_1727,195870.7,4870670.5
